gene	P1_epi1	P1_epi2	P1_epi3	P1_fiber1	P1_fiber2	P1_fiber3	E18_epi1	E18_epi2	E18_epi3	E18_fiber1	E18_fiber2	E18_fiber3	E16_epi1	E16_epi2	E16_epi3	E16_fiber1	E16_fiber2	E16_fiber3	E14_epi1	E14_epi2	E14_epi3	E14_fiber1	E14_fiber2	E14_fiber3
Gbgt1	1.1718	0.887037	1.22218	0.422419	0.522103	0.76823	1.41124	1.41781	1.08007	0.548303	0.665454	0.308695	0.919117	0.565078	0.774182	0.314897	0.492452	0.209268	0.152812	0.404822	0.404857	0.292846	0.586395	0.224136
Gcat	1.13246	1.20624	1.04655	2.01325	3.07899	2.60318	1.81283	1.73625	1.36924	2.85314	1.94451	1.90138	2.24519	2.14544	2.39093	2.2253	2.9732	2.69622	3.92987	3.86083	5.51131	2.56178	2.20702	1.89789
Gcc1	3.66913	2.87275	3.63267	5.16006	4.96676	6.32182	3.30804	2.91095	3.06489	4.90436	4.29645	4.21322	2.94924	3.58737	3.02992	4.97431	4.78771	5.37501	3.61667	2.48796	2.75287	5.40036	5.14693	4.8364
Gcc2	8.14164	7.64855	7.00275	4.10067	4.00946	3.71313	7.78444	7.3377	8.6932	4.77631	4.72207	4.69159	6.76354	6.0996	6.51484	5.57908	5.7307	5.69429	7.15859	6.81109	6.18145	6.97723	6.42338	6.98607
Gcdh	4.91256	4.88134	5.56902	2.63297	2.94385	1.56062	5.02986	6.19728	5.0214	2.97522	2.70426	2.73575	6.07543	5.77795	5.93303	2.48244	2.02281	2.68089	6.88627	6.2996	6.97555	3.7684	3.14893	3.30699
Gcfc2	2.36694	2.13648	2.22095	0.852544	0.577432	0.912105	2.63208	2.52573	3.18848	0.760288	0.935262	1.01437	2.92965	2.76127	2.38099	0.659749	0.841088	1.03113	3.15302	2.89486	2.58343	1.14781	1.17876	1.31253
Gcg	1.92848	3.406	2.04139	144.947	176.757	76.3412	0.983072	0.99476	3.63351	71.2121	124.403	97.4785	2.09522	4.41741	1.28032	89.5566	84.5833	94.825	1.39119	0.614678	1.35409	49.331	45.6278	47.881
Gchfr	0.91178	1.35832	1.26367	4.10468	2.48103	2.05139	1.64885	1.13465	0.370517	2.89357	2.45661	2.45529	1.40461	0.853569	1.26588	1.99542	3.35664	2.11482	2.07222	1.43119	2.96689	2.41422	2.23146	2.40612
Gck	1.86166	2.04727	1.93198	18.3237	19.8487	17.7721	1.50318	1.36522	1.61763	19.9341	18.0131	18.9905	1.5213	1.84126	1.60392	19.4186	18.9071	19.0901	1.0546	1.56943	1.24711	21.4709	21.7615	21.4203
Gclc	7.27678	6.55621	7.82014	14.9137	13.5884	12.653	5.74471	5.24326	5.96912	9.3626	12.3823	11.6073	6.151	6.0896	5.81877	7.89596	8.41716	7.75275	5.84308	5.76178	6.53611	7.01121	6.30573	7.84701
Gclm	15.2876	14.0221	16.5519	22.7291	20.3316	28.6592	12.8379	10.1657	12.5786	20.8732	21.6238	22.7096	13.2862	14.6064	14.1097	21.1237	18.9736	19.6884	13.004	11.1546	11.5792	17.3679	17.0376	16.9124
Gcn1l1	13.3426	13.2894	14.3133	14.2658	13.5289	14.0122	15.1252	15.0967	13.8463	16.5945	14.782	15.607	16.0774	17.2197	16.3124	15.7176	16.6716	16.5643	17.3504	18.7471	20.3596	15.3486	16.5606	16.3119
Gcnt2	1.59599	1.42406	1.47125	0.0283397	0.0883886	0.0507202	1.95567	1.52595	1.22763	0.0751906	0.124753	0.101118	0.292748	0.4479	0.509796	0.06301	0.0926896	0	0.580941	0.339458	0.366664	0	0	0.0428037
Gcsh	18.0469	21.6382	29.2333	45.3278	39.0878	53.5106	27.1169	26.0415	20.8213	57.1286	57.9006	49.5508	18.4192	33.5358	31.0494	62.0002	42.7666	68.5163	19.6755	30.9776	24.5918	47.4693	57.1082	68.0105
Gdap10	2.24925	1.63425	2.12815	0.545878	0.396435	0.633156	2.87817	2.69171	2.18897	1.0209	0.478181	0.810116	2.93353	2.72395	2.69465	1.24902	0.92466	1.35537	2.98446	2.91485	1.99155	1.31307	1.45057	1.67778
Gdap2	5.05227	4.93455	5.02547	12.6331	12.1163	11.2668	4.80928	4.43037	5.23804	10.4362	11.2405	11.4479	4.82807	4.80696	4.5426	11.3885	10.5311	11.9341	5.28727	5.17145	5.33533	10.6943	10.4251	12.8488
Gde1	14.545	14.7823	16.6765	34.6676	30.6404	27.7515	17.9376	15.124	16.4926	30.7368	28.5868	26.5163	14.0441	14.9447	14.7519	29.1561	27.4745	28.6717	16.3947	13.6174	15.0479	29.1483	27.9946	24.293
Gdf11	8.19366	7.33825	7.2646	5.07546	5.14291	4.82831	7.88611	7.56748	7.9931	7.92283	7.04338	7.61748	9.63882	9.21825	10.1129	10.323	8.37916	8.39576	9.2962	9.46087	8.69488	11.7517	9.30855	10.1514
Gdi1	36.9235	34.0011	38.3629	37.6639	38.326	40.53	35.8932	37.0318	36.92	36.5987	34.5908	36.2799	43.9603	42.3071	40.2556	43.7514	45.7343	43.6685	37.9298	37.639	39.8499	43.9633	43.3404	49.6132
Gdi2	77.9314	83.4955	87.5312	398.874	391.131	396.542	79.8211	74.2509	83.7384	382.533	402.125	378.931	80.7909	82.8592	83.9844	305.366	295.006	299.761	82.793	80.6565	71.1757	208.74	216.138	214.336
Gdpd1	14.0728	13.2738	11.2737	14.7433	16.4427	13.3237	10.483	8.78394	11.015	14.0773	12.8865	14.9926	17.0018	17.9297	16.1689	19.2034	20.1686	18.7312	14.9281	15.1024	11.6581	20.2385	19.432	19.689
Gdpd2	0.602128	0.962528	0.908606	0	0.0328989	0.0864888	0.765658	0.754858	0.82179	0	0	0	1.11395	1.29547	0.690749	0	0	0	0.800513	0.890159	0.921948	0	0	0.110669
Gdpd3	0.880339	0.437287	0.493218	6.54807	4.63061	5.14328	0.155433	0.371381	0.710969	4.03099	3.50986	2.98825	0.187286	0.203224	0.188214	1.14537	1.61884	1.01095	0.204536	0.271139	0	0	0.335295	0.198986
Gdpd5	2.70169	2.94219	2.94574	1.07776	0.671763	0.599144	2.39128	2.53608	2.25442	1.10488	0.840693	0.869193	1.70827	1.67586	1.89317	0.824925	0.952319	0.690875	2.24641	1.93748	2.42076	1.2457	1.64369	1.10968
Gdpgp1	1.71607	1.51791	1.59671	1.06298	0.927493	0.814046	1.53307	1.23176	1.38761	1.14929	0.894043	0.674814	1.19997	1.2939	1.35555	0.972143	0.970501	0.586744	1.41885	1.1851	1.16798	1.03894	0.824037	1.05738
Gemin2	3.4971	3.38445	4.71267	3.77427	3.24137	3.55099	3.29208	4.10593	3.95269	3.02294	3.42435	3.57843	3.89609	4.84156	3.85709	3.44785	2.87225	2.77854	4.24642	3.69378	4.33217	3.59387	2.63639	4.16449
Gemin4	4.18344	3.69741	4.81507	1.70261	2.21238	2.64498	4.68226	4.9871	3.93023	2.94886	2.93256	3.01779	6.85646	6.61428	6.79061	3.14308	3.17488	3.23924	8.37559	7.56409	7.20565	4.23012	3.3708	3.84734
Gemin5	5.60793	5.50047	6.0474	3.75993	4.19065	4.86431	7.34202	6.70241	6.17273	5.18212	5.14145	5.0869	8.04446	8.12103	7.93434	5.58374	5.69526	5.74598	10.0473	10.4968	10.5558	6.95908	6.04004	6.50158
Gemin6	1.65226	2.2124	2.29459	1.63662	2.35129	1.42379	2.9666	3.54691	1.56626	1.84299	2.29071	2.13624	1.64949	2.58635	3.12854	1.73243	1.16247	1.61961	5.29927	2.56235	4.08746	1.52714	2.62326	2.53024
Gemin7	13.2865	12.628	14.3577	28.9477	29.5479	23.8848	14.4977	14.9422	13.9203	26.4871	26.6709	25.0516	16.2189	11.8234	14.5392	25.5594	17.3619	16.7282	14.3392	10.1876	19.8231	16.757	18.4388	17.3001
Gemin8	2.35155	2.70973	2.11243	5.36743	5.97715	5.81883	1.97278	2.25241	1.7854	4.82194	5.14342	4.17143	2.38205	1.72796	1.97375	4.2542	5.01472	6.08057	2.00406	2.29354	2.09653	4.44471	5.37909	3.93926
Gen1	2.23486	1.87761	2.76904	0.496402	0.666133	0.845442	2.88108	2.80935	2.81869	0.631421	0.722583	0.749425	3.50029	2.90025	3.44529	0.906264	0.98585	0.961018	4.99524	5.18577	3.88205	1.18281	1.12586	1.48512
Get4	5.54293	6.47115	6.21429	11.1273	11.8171	11.1571	5.42156	5.05506	4.06398	9.3092	9.53808	9.29646	7.32919	6.5657	5.4983	7.52878	9.80097	8.63776	8.12537	5.96032	7.52006	9.08489	8.31252	9.86465
Gfap	5.64487	5.50642	7.1769	0	0.0875334	0.234108	4.33276	4.45249	4.51092	0.0324324	0.147838	0.0278197	5.72622	5.59177	5.84498	0.0713119	0.0366464	0.0325624	4.37007	4.87387	4.61385	0.410594	0.149661	0.134927
Gfer	5.60209	6.91818	5.9119	13.4383	13.8603	15.0468	7.17664	6.4785	5.60841	13.2425	15.7062	13.6092	7.85722	6.50287	6.36435	12.2972	13.5352	10.4349	6.52564	8.13805	8.73547	11.6587	11.444	11.2826
Gfm1	7.82435	7.51495	8.34475	11.6695	9.52792	8.49933	8.6373	7.76303	7.80126	9.96715	11.231	10.3372	10.4469	8.36544	9.08383	11.8055	11.5826	11.474	10.6804	10.7386	11.6115	12.6448	10.6974	12.0393
Gfm2	6.96278	5.89534	6.8544	13.3428	13.8036	12.0933	7.30961	7.39555	6.89767	13.7314	13.6676	15.9027	7.15649	8.07472	8.05843	16.2778	16.2213	14.5477	9.26904	8.92651	9.55766	14.0685	16.5411	14.9922
Gfod2	3.6321	3.3707	3.79257	4.13282	3.72973	3.89642	3.62353	3.54268	4.38655	4.53623	4.6824	4.31061	3.18394	4.24297	4.27714	4.22307	4.03121	4.78507	3.12247	4.65873	3.64921	4.03236	3.94188	4.29137
Gfpt1	12.42	11.2243	12.2089	8.28874	8.99749	8.49898	14.1035	13.6053	13.9514	9.68458	9.46993	9.58299	14.646	15.741	16.1245	11.8331	10.4739	10.7565	14.7047	15.4853	13.2043	12.0249	11.9034	11.7358
