gene	group1	group3	group4	group5	na_count
Ppp1r8	RBP	mRNA binding	NA	NA	2
Rpl5	RBP	mRNA binding	NA	NA	2
Rpl7	RBP	mRNA binding	NA	NA	2
Rps3	RBP	mRNA binding	NA	NA	2
Srsf1	RBP	mRNA binding	NA	NA	2
Snrnp70	RBP	mRNA binding	NA	NA	2
Snrpc	RBP	mRNA binding	NA	NA	2
Sf3b1	RBP	mRNA binding	NA	NA	2
Tdrd7	RBP	mRNA binding	NA	NA	2
Serbp1	RBP	mRNA binding	NA	NA	2
Igf2bp3	RBP	mRNA binding	NA	NA	2
Alyref	RBP	mRNA binding	NA	NA	2
Dhx9	RBP	mRNA binding	NA	NA	2
Celf1	RBP	NA	NA	NA	3
Fxr1	RBP	NA	NA	NA	3
G3bp1	RBP	NA	NA	NA	3
G3bp2	RBP	NA	NA	NA	3
Khsrp	RBP	NA	NA	NA	3
Park7	RBP	NA	NA	NA	3
Rbm38	RBP	NA	NA	NA	3
Rbm8a	RBP	NA	NA	NA	3
Rbmx	RBP	NA	NA	NA	3
Ybx1	RBP	NA	NA	NA	3
Aco1	RBP	NA	NA	NA	3
Cstf2t	RBP	NA	NA	NA	3
Eif3a	RBP	NA	NA	NA	3
Xpo5	RBP	NA	NA	NA	3
Hnrnpa1	RBP	NA	NA	NA	3
Hnrnpc	RBP	NA	NA	NA	3
Hnrnpll	RBP	NA	NA	NA	3
Igf2bp1	RBP	NA	NA	NA	3
Igf2bp2	RBP	NA	NA	NA	3
Nxf1	RBP	NA	NA	NA	3
Ncbp2	RBP	NA	NA	NA	3
Nudt21	RBP	NA	NA	NA	3
Pabpc1	RBP	NA	NA	NA	3
Pcbp1	RBP	NA	NA	NA	3
Ppp1r8	RBP	NA	NA	NA	3
Rpl5	RBP	NA	NA	NA	3
Rpl7	RBP	NA	NA	NA	3
Rps3	RBP	NA	NA	NA	3
Srsf1	RBP	NA	NA	NA	3
Snrnp70	RBP	NA	NA	NA	3
Snrpc	RBP	NA	NA	NA	3
Sf3b1	RBP	NA	NA	NA	3
Tial1	RBP	NA	NA	NA	3
Igf2bp3	RBP	NA	NA	NA	3
Alyref	RBP	NA	NA	NA	3
Cryz	RBP	mRNA binding	NA	NA	2
Rnmt	RBP	mRNA binding	NA	NA	2
Eif4e	RBP	mRNA binding	NA	NA	2
Dis3l2	RBP	mRNA binding	mRNA degradation	NA	1
Fip1l1	RBP	mRNA binding	mRNA processing	NA	1
Cstf2t	RBP	mRNA binding	mRNA processing	NA	1
Thumpd3	RBP	mRNA binding	mRNA degradation	NA	1
Dhx36	RBP	mRNA binding	mRNA degradation	NA	1
Celf1	RBP	mRNA binding	mRNA degradation	NA	1
Ppp1r8	RBP	mRNA binding	mRNA degradation	NA	1
Dazap1	RBP	mRNA binding	mRNA degradation	NA	1
Exosc6	RBP	mRNA binding	mRNA degradation	NA	1
Exosc3	RBP	mRNA binding	mRNA degradation	NA	1
Pabpc1	RBP	mRNA binding	mRNA degradation	NA	1
Pabpn1	RBP	mRNA binding	mRNA degradation	NA	1
Ddx6	RBP	mRNA binding	mRNA degradation	NA	1
Nudt16l1	RBP	mRNA binding	mRNA degradation	NA	1
Alyref	RBP	mRNA binding	mRNA transport	NA	1
Ddx39b	RBP	mRNA binding	mRNA transport	NA	1
Eif5a	RBP	mRNA binding	mRNA transport	NA	1
Hnrnpa2b1	RBP	mRNA binding	mRNA transport	NA	1
Nxf1	RBP	mRNA binding	mRNA transport	NA	1
Nudt21	RBP	mRNA binding	mRNA processing	NA	1
Celf1	RBP	mRNA binding	mRNA processing	NA	1
Ddx1	RBP	mRNA binding	mRNA processing	NA	1
Ddx39b	RBP	mRNA binding	mRNA processing	NA	1
Khdrbs1	RBP	mRNA binding	mRNA processing	NA	1
Khsrp	RBP	mRNA binding	mRNA processing	NA	1
Lsm2	RBP	mRNA binding	mRNA processing	NA	1
Nhp2l1	RBP	mRNA binding	mRNA processing	NA	1
Rnmt	RBP	mRNA binding	mRNA processing	NA	1
Rbm39	RBP	mRNA binding	mRNA processing	NA	1
Rbm8a	RBP	mRNA binding	mRNA processing	NA	1
Rbmx	RBP	mRNA binding	mRNA processing	NA	1
Rbmxl1	RBP	mRNA binding	mRNA processing	NA	1
Rnps1	RBP	mRNA binding	mRNA processing	NA	1
Son	RBP	mRNA binding	mRNA processing	NA	1
Ybx1	RBP	mRNA binding	mRNA processing	NA	1
Cdc5l	RBP	mRNA binding	mRNA processing	NA	1
Eif4a3	RBP	mRNA binding	mRNA processing	NA	1
Fmr1	RBP	mRNA binding	mRNA processing	NA	1
Hnrnpa1	RBP	mRNA binding	mRNA processing	NA	1
Hnrnpa2b1	RBP	mRNA binding	mRNA processing	NA	1
Hnrnpa3	RBP	mRNA binding	mRNA processing	NA	1
Hnrnpc	RBP	mRNA binding	mRNA processing	NA	1
Hnrnpf	RBP	mRNA binding	mRNA processing	NA	1
Hnrnph1	RBP	mRNA binding	mRNA processing	NA	1
Hnrnpk	RBP	mRNA binding	mRNA processing	NA	1
Hnrnpl	RBP	mRNA binding	mRNA processing	NA	1
Hnrnpll	RBP	mRNA binding	mRNA processing	NA	1
